reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
Océan d’Or 5N Rose Gold,https://czapek.com/product/ocean-dor-5n-rose-gold/,,czapek,,Faubourg de Cracovie,Océan d’Or 5N Rose Gold,,,,CHF,50000,https://czapek.com/wp-content/uploads/2021/02/FdC_Ocean_dOr_5N_Soldier_Web-1024x1371.jpg,Switzerland,,41.5mm 5N Rose Gold Case,,Sapphire case back with Anti-reflective treatment on the inner side.,41.5 mm,,,,,,Sapphire crystal Glass-Box with anti-reflective treatment,5 atm,,"Handcrafted Guilloché ""Résonance"" bombé dial in AuPtPdAg Rose gold baton applied indexes with Super Luminova treatment 12 in Arabic numerals with Super Luminova treatment","Handcrafted Guilloché ""Résonance"" bombé dial in AuPtPdAg Rose gold baton applied indexes with Super Luminova treatment 12 in Arabic numerals with Super Luminova treatment",41.5mm 5N Rose Gold Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a 5N rose gold deploying buckle,41.5mm 5N Rose Gold Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a 5N rose gold deploying buckle,41.5mm 5N Rose Gold Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a 5N rose gold deploying buckle,,Caliber SXH3: Haute Horlogerie integrated automatic Chronograph movement with a bespoke execution,,5 Hz,,"Chronograph, Hours, Minutes & Seconds Chronograph's Minutes at 3 o'clock Chronograph's Hours at 9 o'clock Small seconds at 6 o'clock Date at 6 o'clock","5N Rose gold caseBlue Handcrafted Guilloché ""Résonance"" dial with 5n rose gold subdialsLuminescent 5n rose gold hands and indexesSXH3 Certified Chronometer (COSC) caliberLimited Edition of 8 pieces engraved:""1 out of 8""",
Frozen Star S,https://czapek.com/product/frozen_star_s/,,czapek,,Antarctique,Frozen Star S,,,,CHF,76000,https://czapek.com/wp-content/uploads/2023/03/froyen-sdt.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,38.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARDur©,12 atm,,"Made of crystallised Osmium – the rarest precious metal on Earth Luminescent, rhodium plated steel hour makers","Made of crystallised Osmium – the rarest precious metal on Earth Luminescent, rhodium plated steel hour makers","Integrated stainless steeIntegrated stainless steel bracelet with Czapek exclusive ""Easy Release"" systeml bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap","Integrated stainless steeIntegrated stainless steel bracelet with Czapek exclusive ""Easy Release"" systeml bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap","Integrated stainless steeIntegrated stainless steel bracelet with Czapek exclusive ""Easy Release"" systeml bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap",,Calibre SXH5: Czapek's in house self-winding mechanical movement,60 hours,4 Hz,,"Hours, Minutes & Seconds","Exclusive dial made of crystallised Osmium – the rarest precious metal on Earth60H power reserve, self-winding Haute Horlogerie calibre SXH538.5 mm. stainless steel case, water resistant at up 120 meters (12 ATM)Integrated metal braceletLimited Edition of 38 piecesTo place an order please visit https://czapek.com/frozen_star/",
Antarctique,https://czapek.com/product/passage-de-drake_pp/,,czapek,,ANTARCTIQUE,PASSAGE DE DRAKE,,,,,,https://czapek.com/wp-content/uploads/2020/10/white-cobra-1.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,40.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARDur©,12 atm,,"Stamped “flinqué” dial with the exclusive, officially registered “Stairway to Eternity” pattern Available in Ice White, Deep Blue, Black Ink and Glacier Blue. Luminescent, rhodium plated steel hour makers Luminescent, steel ""Sword"" hands","Stamped “flinqué” dial with the exclusive, officially registered “Stairway to Eternity” pattern Available in Ice White, Deep Blue, Black Ink and Glacier Blue. Luminescent, rhodium plated steel hour makers Luminescent, steel ""Sword"" hands","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system and micro-adjustment device Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system and micro-adjustment device Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system and micro-adjustment device Additional calf leather or rubber strap",,Calibre SXH5: Czapek's in house self-winding mechanical movement,60 hours,4 Hz,,"Hours, Minutes & Seconds Date at 6 o'clock","Discover the Czapek's Antarctique Passage de Drake line, a collection combining sophisticated style and look with a genuine in-house automatic movement. The four versions can be pre-ordered directly on this page, at Czapek & Cie official retailers, and at the Geneva boutique in rue de la Corraterie 18 in Switzerland.",
Antarctique,https://czapek.com/product/passage-de-drake-s-pp/,,czapek,,ANTARCTIQUE,PASSAGE DE DRAKE S,,,,,,https://czapek.com/wp-content/uploads/2022/03/Title-PdD-S-cropped-scaled.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,38.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARDur©,12 atm,,"Stamped “flinqué” dial with the exclusive, officially registered “Stairway to Eternity” pattern Luminescent, rhodium plated steel hour makers","Stamped “flinqué” dial with the exclusive, officially registered “Stairway to Eternity” pattern Luminescent, rhodium plated steel hour makers","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional rubber strap",,Calibre SXH5: Czapek's in house self-winding mechanical movement,60 hours,4 Hz,,"Hours, Minutes & Seconds Date at 6 o'clock","Czapek introduces the Antarctique Passage de Drake S – an elegant new case size for slimmer wrists. Two years after the successful launch of the Antarctique line, sporting chic enters fresh territory with a 38.5mm case and an array of new dials.",
Océan d’Or 2N Yellow Gold,https://czapek.com/product/ocean-dor-2n-yellow-gold/,,czapek,,Faubourg de Cracovie,Océan d’Or 2N Yellow Gold,,,,CHF,50000,https://czapek.com/wp-content/uploads/2021/02/FdC_Ocean_dOr_2N_Soldier_Web-1024x1371.jpg,Switzerland,,41.5mm 18 Karat 2N Yellow Gold Case,,Sapphire case back with Anti-reflective treatment on the inner side.,41.5 mm,,,,,,Sapphire crystal Glass-Box with anti-reflective treatment,5 atm,,"Handcrafted Guilloché ""Résonance"" bombé dial in AuPtPdAg Yellow gold baton applied indexes with Super Luminova treatment 12 in Arabic numerals with Super Luminova treatment","Handcrafted Guilloché ""Résonance"" bombé dial in AuPtPdAg Yellow gold baton applied indexes with Super Luminova treatment 12 in Arabic numerals with Super Luminova treatment",41.5mm 18 Karat 2N Yellow Gold Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a 2N yellow gold deploying buckle,41.5mm 18 Karat 2N Yellow Gold Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a 2N yellow gold deploying buckle,41.5mm 18 Karat 2N Yellow Gold Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a 2N yellow gold deploying buckle,,Caliber SXH3: Haute Horlogerie integrated automatic Chronograph movement with a bespoke execution,,5 Hz,,"Chronograph, Hours, Minutes & Seconds Chronograph's Minutes at 3 o'clock Chronograph's Hours at 9 o'clock Small seconds at 6 o'clock Date at 6 o'clock","18 karat 2N yellow gold caseBlue Handcrafted Guilloché ""Résonance"" dial with 2N yellow gold subdialsLuminescent 2N yellow gold hands and indexesSXH3 Certified Chronometer (COSC) caliberLimited Edition of 2 pieces engraved:""1 out of 2""",
Dark Matter,https://czapek.com/product/dark_matter/,,czapek,,Place Vendôme,Dark Matter,,,,CHF,93000,https://czapek.com/wp-content/uploads/2020/08/PV_Dark_Matter_387001_Soldier_Web-1-1024x1371.jpg,Switzerland,,Titanium grade 5 case with ADLC coating,,Sapphire crystal case back with anti-reflective treatment on both sides,43.5 mm,,,,,,Curved sapphire crystal with anti-reflective treatment on both sides,3 atm,,"Champlevé dial, “Grand feu” Black Enamel ring","Champlevé dial, “Grand feu” Black Enamel ring",Titanium grade 5 case with ADLC coating 43.5 mm diameter Sandblasted strechers on case flanks Curved sapphire crystal with anti-reflective treatment on both sides Sapphire crystal case back with anti-reflective treatment on both sides Water-resistance: 30 meters (3 atm) Alligator strap with Titanium buckle,Titanium grade 5 case with ADLC coating 43.5 mm diameter Sandblasted strechers on case flanks Curved sapphire crystal with anti-reflective treatment on both sides Sapphire crystal case back with anti-reflective treatment on both sides Water-resistance: 30 meters (3 atm) Alligator strap with Titanium buckle,Titanium grade 5 case with ADLC coating 43.5 mm diameter Sandblasted strechers on case flanks Curved sapphire crystal with anti-reflective treatment on both sides Sapphire crystal case back with anti-reflective treatment on both sides Water-resistance: 30 meters (3 atm) Alligator strap with Titanium buckle,,Calibre SXH2: Haute Horlogerie proprietary,,3 Hz,,"Hours and minutes on separate dial located at 12 o’clock One-minute tourbillon located at 8 o’clock Second time zone on subdial at 4 o’clock, turns counter-clockwise Disk day/night indicator located at 6, turns counter-clockwise Power reserve: off centre disk, located at 12, turn on 90° on 60h, winding counter clockwise","Titanium grade 5 case with ADLC coatingTourbillon & GMT functionChamplevé dial, “Grand feu” Black Enamel ringAnthracite honeycomb plate and steel bridges treated with PVD coatingLimited edition of 10 pieces",
Abyss,https://czapek.com/product/abyss/,,czapek,,Antarctique Special Edition,Abyss,,Special Edition,,CHF,19000,https://czapek.com/wp-content/uploads/2020/08/ANT_Abyss_REF_REF1_Soldier_Web-1024x1371.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,40.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARUnic©,12 atm,,Exclusive hand-varnished dial,Exclusive hand-varnished dial,"Stainless steel case 40.5 mm diameter Height: 10.6 mm Sapphire crystal glass-box with anti-reflective treatment ARUnic© Sapphire crystal case-back with anti-reflective treatment Water-resistance: 120 meters (12 atm) Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system","Stainless steel case 40.5 mm diameter Height: 10.6 mm Sapphire crystal glass-box with anti-reflective treatment ARUnic© Sapphire crystal case-back with anti-reflective treatment Water-resistance: 120 meters (12 atm) Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system","Stainless steel case 40.5 mm diameter Height: 10.6 mm Sapphire crystal glass-box with anti-reflective treatment ARUnic© Sapphire crystal case-back with anti-reflective treatment Water-resistance: 120 meters (12 atm) Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system",,Calibre SXH5: Czapek's in house self-winding mechanical movement,60 hours,4 Hz,,"Hours, Minutes & Seconds","Unique hand-varnished dial for each timepiece60-hours power reserve, self-winding Haute Horlogerie calibre SXH540.5 mm stainless steel case,water resistant at up to 120 m (12 ATM)Integrated metal bracelet and additionl rubber strap",
California Dreamin’,https://czapek.com/product/california-dreamin/,,czapek,,Faubourg de Cracovie,California Dreamin’,,,,CHF,32000,https://czapek.com/wp-content/uploads/2020/03/FdC_California_Dreaming_Black_Rubber_Soldier_Web-1024x1371.jpg,Switzerland,,41.5mm Stainless Steel Case,,Sapphire case back with Anti-reflective treatment on the inner side.,41.5 mm,,,,,,Sapphire crystal Glass-Box with anti-reflective treatment,5 atm,,Anthracite electroplated brass dial with grené finish Californian style: Roman numerals from X to II and Arabic from 4 to 8 Tachymeter scale Hour markers in SuperLuminova®,Anthracite electroplated brass dial with grené finish Californian style: Roman numerals from X to II and Arabic from 4 to 8 Tachymeter scale Hour markers in SuperLuminova®,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator or rubber strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator or rubber strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator or rubber strap with a steel deploying buckle,,Caliber SXH3: Haute Horlogerie integrated automatic Chronograph movement with a bespoke execution,,5 Hz,,"Chronograph, Hours, Minutes & Seconds Chronograph's Minutes at 3 o'clock Chronograph's Hours at 9 o'clock Small seconds at 6 o'clock Date at 6 o'clock","Stainless steel caseCalifornian style dial with ""grené"" finishTachymeter scaleArrow hands with SuperLuminova® coatingHour markers in SuperLuminova®Certified Chronometer (COSC)Limited edition of 18 pieces engraved:""1 out of 18""",
Aurora Borealis,https://czapek.com/product/aurora-borealis/,,czapek,,Quai des Bergues,Aurora Borealis,,,,CHF,18800,https://czapek.com/wp-content/uploads/2020/03/QdB_Aurora_Borealis_EN_034006-1024x1371.jpg,Switzerland,,Exclusive XO stainless steel “Revolution” case,,Sapphire crystal case back with anti-reflective treatment on the inside surface,42.5 mm,,,,,,Curved Sapphire crystal with anti-reflective treatment on the inside surface,5 atm,,"Silver Handmade bombé Guilloché ""Eaux-Vives"" dial Czapek exclusive design Czapek typical elongated indexes","Silver Handmade bombé Guilloché ""Eaux-Vives"" dial Czapek exclusive design Czapek typical elongated indexes",Exclusive XO stainless steel “Revolution” case 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Matt Blue Steel Alligator strap with XO Steel pin buckle,Exclusive XO stainless steel “Revolution” case 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Matt Blue Steel Alligator strap with XO Steel pin buckle,Exclusive XO stainless steel “Revolution” case 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Matt Blue Steel Alligator strap with XO Steel pin buckle,,Calibre SXH1: Haute Horlogerie proprietary mechanical hand-wound movement,168 hours,3 Hz,,"Hours, Minutes & Seconds Small second at 7h30 Power reserve indication with weekdays at 4h30","Exclusive XO stainless steel “Revolution” caseSilver Handmade bombé Guilloché ""Eaux-Vives"" dialSkeletonized, blued steel handsLimited Edition of 10 pieces",
Sapphire Blue S,https://czapek.com/product/sapphire-blue/,,czapek,,Quai des Bergues,Sapphire Blue S,,,,CHF,18800,https://czapek.com/wp-content/uploads/2019/04/QdB_Guilloche_Sapphire_Blue_Enamel_Flinque_Arrow_S_-_EN_034006_Soldier_Web-1024x1371.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case back with anti-reflective treatment on the inside surface,38.5 mm,,,,,,Curved Sapphire crystal with anti-reflective treatment on the inside surface,5 atm,,Blue handmade “Flinqué” enamel dial,Blue handmade “Flinqué” enamel dial,Stainless steel case 38.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Mat Dark Blue Alligator strap with XO seel pin buckle,Stainless steel case 38.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Mat Dark Blue Alligator strap with XO seel pin buckle,Stainless steel case 38.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Mat Dark Blue Alligator strap with XO seel pin buckle,,Calibre SXH1: Haute Horlogerie proprietary mechanical hand-wound movement,168 hours,3 Hz,,"Hours, Minutes & Seconds Small second at 7h30 Power reserve indication with weekdays at 4h30",Blue handmade “Flinqué” enamel dialStainless steel caseSteel hands with white galvanic treatmentLimited Edition of 100 pieces,
Terre Adélie,https://czapek.com/product/terre-adelie-pp/,,czapek,,Antarctique,Terre Adélie,,,,CHF,18000,https://czapek.com/wp-content/uploads/2020/10/ANT_Terre_Adelie_Secret_Alloy_REF_REF1_Soldier_Web-1024x1371.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,40.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARDur©,12 atm,,"Hand brushed ""Lamé"" dial Luminescent, rhodium plated steel hour makers","Hand brushed ""Lamé"" dial Luminescent, rhodium plated steel hour makers","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap",,Calibre SXH5: Czapek's in house self-winding mechanical movement,60 hours,4 Hz,,"Hours, Minutes & Seconds Date at 6 o'clock","Exclusive ""Lamé"" dial60H power reserve, self-winding Haute Horlogerie calibre SXH540.5 mm. stainless steel case, water resistant at up 120 meters (12 ATM)Integrated metal bracelet",
Blue California,https://czapek.com/product/california_blue/,,czapek,,Faubourg de Cracovie,Blue California,,,,CHF,32000,https://czapek.com/wp-content/uploads/2020/02/FDC_California_blue_rubber-blue_strap_LR1-1024x1370.jpg,Switzerland,,41.5mm Stainless Steel Case,,Sapphire case back with Anti-reflective treatment on the inner side.,41.5 mm,,,,,,Sapphire crystal Glass-Box with anti-reflective treatment,5 atm,,Blue electroplated brass dial with grené finish Californian style: Roman numerals from X to II and Arabic from 4 to 8 applied indexes with Super Luminova treatment Tachymeter scale Hour markers in SuperLuminova®,Blue electroplated brass dial with grené finish Californian style: Roman numerals from X to II and Arabic from 4 to 8 applied indexes with Super Luminova treatment Tachymeter scale Hour markers in SuperLuminova®,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,,Caliber SXH3: Haute Horlogerie integrated automatic Chronograph movement with a bespoke execution,,5 Hz,,"Chronograph, Hours, Minutes & Seconds Chronograph's Minutes at 3 o'clock Chronograph's Hours at 9 o'clock Small seconds at 6 o'clock Date at 6 o'clock","Stainless steel caseBlue Californian style dial with ""grené"" finishTachymeter scaleArrow hands with SuperLuminova® coatingHour markers in SuperLuminova®Certified Chronometer (COSC)Limited edition of 18 pieces engraved:""1 out of 18""",
No.33bis,https://czapek.com/product/no-33-bis/,,czapek,,Quai des Bergues,No.33bis,,,,CHF,36600,https://czapek.com/wp-content/uploads/2017/12/QdB_N33bis_PL_1331_034001_GPHG_2016_Soldier_Web-1024x1371.jpg,Switzerland,,5N Red Gold case with Czapek’s “Queen Bee” Hallmark,,Sapphire crystal case back with anti-reflective treatment on the inside surface,42.5 mm,,,,,,Curved Sapphire crystal with anti-reflective treatment on the inside surface,3 atm,,"""Grand feu"" Enamel dial with a secret signature “Czapek” Elongated roman numerals, symbol of the Czapek elegance","""Grand feu"" Enamel dial with a secret signature “Czapek” Elongated roman numerals, symbol of the Czapek elegance",5N Red Gold case with Czapek’s “Queen Bee” Hallmark 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 30 meters (3 atm) Alligator strap with 5N Rose Gold buckle,5N Red Gold case with Czapek’s “Queen Bee” Hallmark 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 30 meters (3 atm) Alligator strap with 5N Rose Gold buckle,5N Red Gold case with Czapek’s “Queen Bee” Hallmark 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 30 meters (3 atm) Alligator strap with 5N Rose Gold buckle,,Calibre SXH1: Haute Horlogerie proprietary mechanical hand-wound movement,168 hours,3 Hz,,"Hours, Minutes & Seconds Small second at 7h30 Power reserve indication with weekdays at 4h30","5N Rose Gold caseWhite enamel ""Grand feu"" dial""Fleur de lys"" hands in 5N ""BlackGold""",
